Dataset,Model,Features,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall
Borderlands,Logistic Regression (Baseline),Bag-of-Words,0.7390612018831348,0.7389220867414495,0.7448962450248547,0.7390612018831348
Borderlands,Naive Bayes (Intermediate),TF-IDF + N-grams,0.7522846856826364,0.7512753999280103,0.7545976034460703,0.7522846856826364
Borderlands,Svm (Intermediate),TF-IDF + N-grams,0.8361949598449183,0.8362188343078548,0.8364601706618757,0.8361949598449183
Airline,Logistic Regression (Baseline),Bag-of-Words,0.721861101607937,0.7331694111784691,0.7599510003065034,0.721861101607937
Airline,Naive Bayes (Intermediate),TF-IDF + N-grams,0.7133082449538146,0.6564148982539706,0.7400781691823562,0.7133082449538146
Airline,Svm (Intermediate),TF-IDF + N-grams,0.7598357851522408,0.7606322292414301,0.7614910056438207,0.7598357851522408
Climate,Logistic Regression (Baseline),Bag-of-Words,0.6822270294887851,0.6891686720749158,0.7045847698918011,0.6822270294887851
Climate,Naive Bayes (Intermediate),TF-IDF + N-grams,0.6993054764886713,0.6795630933097215,0.7130738107071672,0.6993054764886713
Climate,Svm (Intermediate),TF-IDF + N-grams,0.7134236593419105,0.7143082017838621,0.71549072978291,0.7134236593419105
Corona,Logistic Regression (Baseline),Bag-of-Words,0.7674755120213713,0.772350358333621,0.7860248134325271,0.7674755120213713
Corona,Naive Bayes (Intermediate),TF-IDF + N-grams,0.6684105075690115,0.6393874451913881,0.6812889904958266,0.6684105075690115
Corona,Svm (Intermediate),TF-IDF + N-grams,0.7751558325912734,0.7769347260938035,0.7798989146675442,0.7751558325912734
Combined,Logistic Regression (Baseline),Bag-of-Words,0.6628810520023909,0.6631097571197437,0.6643320113549105,0.6628810520023909
Combined,Naive Bayes (Intermediate),TF-IDF + N-grams,0.655025189992315,0.6538671059782336,0.6540829229958195,0.655025189992315
Combined,Svm (Intermediate),TF-IDF + N-grams,0.7007656619133009,0.7004116592348533,0.700505971216485,0.7007656619133009
